dataset,n_clips,action_mae,mae_debiased,trivial_hold_first,episodes,frames,height,camera
aractingi/push_cube_offline_data,4,0.6475,0.1564,0.221,30,1591,480,observation.images.image
nbaron99/so100_pick_and_place4,4,0.6883,0.2904,0.3022,100,5973,480,observation.images.image
FeiYjf/new_GtoR,4,0.6912,0.3114,0.2842,378,25420,480,observation.images.image
sihyun77/mond_1,4,0.6945,0.3151,0.2938,30,3495,480,observation.images.image
sixpigs1/so100_stack_cube_error,4,0.7618,0.2891,0.397,80,4721,480,observation.images.image
pandaRQ/pick_med_1,4,0.808,0.4227,0.6689,100,8946,480,observation.images.image
VoicAndrei/so100_banana_to_plate_only,4,0.8447,0.4394,0.423,120,6262,480,observation.images.image
frk2/so100largediffcam,4,0.8726,0.2612,0.3092,50,4500,480,observation.images.image
samsam0510/cube_reorientation_2,4,0.8953,0.2915,0.2252,182,23188,480,observation.images.image
356c/so100_duck_reposition_1,4,0.8989,0.3262,0.373,60,9773,480,observation.images.image
isadev/bougies3,4,0.9193,0.3564,0.4769,200,12940,480,observation.images.image
lirislab/red_cube_into_green_lego_block,4,0.9318,0.2369,0.2003,30,2303,480,observation.images.image
samsam0510/tooth_extraction_4,4,0.9328,0.3128,0.3999,200,15285,480,observation.images.image
samsam0510/cube_reorientation_4,4,0.9366,0.2765,0.2161,100,11398,480,observation.images.image
Jiafei1224/so100_pa222per,4,0.9562,0.2648,0.3983,30,2700,480,observation.images.image
Beegbrain/pick_lemon_and_drop_in_bowl,4,0.9573,0.5158,0.6723,40,3087,480,observation.images.image
lirislab/red_cube_into_blue_cube,4,0.9728,0.3108,0.5219,45,2747,480,observation.images.image
samsam0510/tooth_extraction_3,4,0.9768,0.2619,0.2622,100,6619,480,observation.images.image
lirislab/put_coffee_cap_teabox,4,0.9839,0.303,0.335,40,2979,480,observation.images.image
ganker5/so100_push_20250328,4,1.0026,0.2065,0.1429,50,3234,480,observation.images.image
roboticshack/team9-pick_chicken_place_plate,4,1.0095,0.3494,0.3744,69,3960,480,observation.images.image
ganker5/so100_color_0328,4,1.0281,0.2543,0.1826,50,3502,480,observation.images.image
Beegbrain/sweep_tissue_cube,4,1.0339,0.4262,0.4872,30,3225,480,observation.images.image
lirislab/put_caps_into_teabox,4,1.0422,0.3401,0.3244,30,2165,480,observation.images.image
Ityl/so100_recording2,4,1.0626,0.2612,0.3363,45,2747,480,observation.images.image
paszea/so100_whale_3,4,1.0631,0.2841,0.3323,35,4038,480,observation.images.image
bensprenger/left_arm_yellow_brick_in_box_with_purple_noise_v0,4,1.0647,0.2973,0.477,50,6000,480,observation.images.image
roboticshack/team13-two-balls-stacking,4,1.0731,0.3944,0.4898,51,2716,480,observation.images.image
ganker5/so100_dataline_0328,4,1.0737,0.3208,0.2667,50,5003,480,observation.images.image
Jiangeng/so100_413,4,1.0758,0.3245,0.4008,50,3590,480,observation.images.image
triton7777/so100_dataset_mix,4,1.0831,0.3603,0.3451,65,13269,480,observation.images.s_left
lirislab/open_top_drawer_teabox,4,1.0916,0.3604,0.4335,30,1931,480,observation.images.image
ganker5/so100_toy_20250402,4,1.0954,0.3293,0.4009,100,10770,480,observation.images.image
lirislab/sweep_tissue_cube,4,1.1058,0.4028,0.5164,30,3225,480,observation.images.image
bensprenger/left_arm_yellow_brick_in_box_v0,4,1.121,0.1766,0.2294,50,6000,480,observation.images.image
vladfatu/so100_office,4,1.1217,0.336,0.3782,50,5997,480,observation.images.image
Odog16/so100_cube_stacking_v1,4,1.1235,0.3254,0.3821,50,7761,480,observation.images.image
ZGGZZG/so100_drop0,4,1.1422,0.281,0.2219,33,3183,480,observation.images.image
lirislab/so100_demo,4,1.1447,0.1755,0.3239,30,3362,480,observation.images.image
CSCSXX/pick_place_cube_1.18,4,1.1478,0.2865,0.4643,50,3319,480,observation.images.image
